Topography,Construction Type,Amount of Land (sqft),Land Price per sqft,Number of Floors,Architectural Style,Quality Level of Raw Materials,Furnished,Luxury Level,Building Area (sqft),Construction Cost per sqft,Raw Materials Cost per sqft,Flooring Cost per sqft,Ceiling Cost per sqft,Plumbing Cost per sqft,Wiring Cost per sqft,Price
rural,commercial,4443,432,15,traditional,low,Non-Furnished,basic,4215,1777,1471,399,124,232,123,38184210
urban,residential,6541,9536,1,contemporary,medium,Non-Furnished,standard,6213,1720,1468,321,57,292,104,78291793
rural,residential,1525,875,2,traditional,high,Furnished,standard,1448,1528,1430,535,130,279,134,7961537
metropolitan,residential,1412,38725,1,modern,low,Furnished,basic,1341,1732,1485,362,138,158,117,43855351
rural,residential,6740,981,1,traditional,high,Non-Furnished,basic,6403,1637,1322,416,196,193,115,28021215
rural,commercial,4824,468,23,traditional,low,Furnished,luxury,4577,1721,1091,550,151,248,163,82533826
rural,residential,1378,362,5,contemporary,low,Furnished,standard,1305,1679,1048,439,90,179,127,6053886
suburban,residential,5973,4303,4,traditional,medium,Non-Furnished,standard,5672,1585,1347,373,127,246,160,48436130
suburban,residential,6400,1887,1,traditional,high,Furnished,standard,6080,1650,1152,421,163,295,163,35394396
suburban,residential,2638,3674,2,contemporary,low,Furnished,standard,2506,1641,1375,466,98,228,142,16922338
urban,residential,3554,6033,4,contemporary,high,Non-Furnished,luxury,3376,1773,1143,381,193,297,146,42011286
suburban,residential,1440,1439,4,traditional,low,Non-Furnished,standard,1368,1763,1319,336,102,217,168,7122446
rural,commercial,2811,659,10,modern,low,Furnished,standard,2670,1782,1196,464,78,265,170,23453478
rural,commercial,4322,919,9,contemporary,high,Non-Furnished,luxury,4104,1707,1233,388,153,171,103,42753387
rural,residential,8384,391,4,contemporary,low,Non-Furnished,basic,7964,1599,1118,599,131,260,169,35325819
rural,residential,3824,759,3,traditional,medium,Furnished,basic,3630,1761,1220,556,158,157,180,17589502
rural,commercial,10918,821,24,modern,high,Furnished,luxury,10368,1651,1441,301,80,216,147,161584056
rural,residential,5881,701,5,contemporary,high,Furnished,luxury,5585,1629,1352,348,109,246,200,37165041
rural,residential,3942,943,5,contemporary,high,Furnished,basic,3740,1736,1317,576,57,193,161,24591396
urban,residential,10352,9367,4,contemporary,high,Non-Furnished,standard,9832,1548,1308,556,112,199,131,149746892
metropolitan,commercial,3058,31264,10,traditional,low,Furnished,standard,2900,1656,1164,566,113,192,120,120299002
rural,residential,4197,488,4,contemporary,medium,Non-Furnished,basic,3984,1769,1299,501,121,260,182,19843360
rural,commercial,10350,624,30,traditional,medium,Furnished,luxury,9810,1664,1492,371,109,164,133,183249488
metropolitan,commercial,9261,38567,20,contemporary,low,Furnished,standard,8780,1798,1452,499,195,234,179,474371550
urban,residential,5283,7896,4,contemporary,high,Non-Furnished,luxury,5016,1650,1042,494,69,209,166,73351075
suburban,residential,8520,3127,1,traditional,high,Non-Furnished,luxury,8094,1665,1257,512,70,223,118,62904418
rural,residential,3271,722,3,modern,low,Non-Furnished,standard,3105,1553,1295,438,76,245,181,13643138
rural,commercial,3524,360,26,modern,low,Non-Furnished,basic,3328,1515,1137,335,125,177,125,36087666
suburban,commercial,7689,4759,5,modern,low,Furnished,basic,7300,1768,1097,563,149,262,149,73760665
metropolitan,commercial,1344,45572,16,modern,high,Non-Furnished,basic,1264,1759,1173,386,163,152,165,79897752
urban,commercial,10677,15241,29,traditional,low,Furnished,basic,10121,1666,1100,520,53,266,167,310806898
suburban,residential,5275,2098,4,traditional,high,Furnished,basic,5008,1599,1392,572,175,214,192,36262038
metropolitan,residential,9754,25701,3,modern,low,Non-Furnished,basic,9264,1643,1374,375,127,166,196,214026480
urban,commercial,5062,7244,9,modern,high,Furnished,standard,4806,1771,1453,551,63,277,196,95421652
urban,residential,6206,17373,3,traditional,low,Furnished,luxury,5895,1529,1120,415,135,163,180,119241062
urban,commercial,2818,10911,18,traditional,low,Non-Furnished,basic,2664,1628,1364,441,105,210,153,54450319
urban,commercial,3322,5329,22,contemporary,high,Non-Furnished,basic,3146,1609,1171,561,72,235,171,72724005
suburban,commercial,1867,2899,23,contemporary,low,Non-Furnished,basic,1771,1668,1395,542,163,185,189,30173998
suburban,residential,11872,2768,1,traditional,medium,Non-Furnished,basic,11278,1614,1178,479,115,210,129,60646518
urban,residential,4491,5496,1,contemporary,medium,Non-Furnished,luxury,4266,1727,1104,497,175,195,130,40602655
metropolitan,commercial,10578,44137,26,contemporary,high,Furnished,standard,10036,1791,1223,562,156,296,167,787069446
metropolitan,commercial,10766,27766,9,traditional,medium,Furnished,standard,10224,1607,1073,534,167,206,133,419510006
rural,commercial,4807,815,26,modern,low,Non-Furnished,basic,4550,1630,1185,377,66,232,162,56505486
urban,commercial,3500,18836,20,contemporary,medium,Furnished,standard,3320,1749,1177,395,164,246,184,114317528
rural,commercial,5352,897,1,modern,medium,Non-Furnished,basic,5084,1789,1119,569,154,236,145,24945774
suburban,residential,5854,4606,4,contemporary,medium,Furnished,standard,5560,1523,1440,547,174,204,156,52866843
urban,residential,11432,15235,1,contemporary,low,Furnished,basic,10860,1501,1354,562,50,242,169,158086879
urban,commercial,3122,12544,20,traditional,high,Furnished,luxury,2960,1635,1239,571,129,206,188,110609512
urban,commercial,2564,18831,17,modern,low,Non-Furnished,luxury,2431,1675,1382,558,117,181,156,86987567
rural,residential,11028,642,2,traditional,low,Non-Furnished,basic,10476,1694,1278,368,64,275,138,37122163
urban,residential,9496,19486,1,modern,high,Furnished,basic,9021,1627,1189,383,71,200,186,194924460
metropolitan,residential,2115,41963,3,traditional,high,Non-Furnished,luxury,2007,1621,1410,579,56,212,103,107882566
metropolitan,residential,11958,34242,4,traditional,low,Non-Furnished,basic,11360,1523,1001,513,132,282,123,340843596
urban,residential,3680,10338,1,traditional,low,Furnished,standard,3496,1734,1392,596,172,179,153,43028607
suburban,residential,2468,4129,2,traditional,low,Non-Furnished,basic,2344,1743,1292,498,122,259,101,15140486
metropolitan,residential,8924,47069,1,traditional,low,Furnished,standard,8477,1778,1305,461,150,154,184,368545504
metropolitan,commercial,5283,20919,26,contemporary,high,Furnished,luxury,5018,1543,1425,415,130,189,115,242266351
urban,commercial,5319,14155,11,traditional,low,Furnished,luxury,5049,1757,1181,447,86,300,111,128380994
rural,commercial,8257,673,5,modern,high,Non-Furnished,standard,7840,1755,1215,390,152,159,109,57381298
rural,commercial,9519,687,9,modern,low,Furnished,luxury,9036,1713,1154,340,178,151,133,70808797
suburban,commercial,11703,3077,15,modern,medium,Furnished,basic,11115,1564,1027,358,110,292,164,130284504
metropolitan,residential,8696,48022,2,contemporary,medium,Non-Furnished,standard,8260,1728,1481,437,192,237,193,410816350
metropolitan,commercial,1742,29849,18,contemporary,low,Furnished,luxury,1638,1522,1422,401,194,254,150,75932039
rural,residential,1724,743,1,modern,medium,Furnished,luxury,1637,1663,1157,392,110,160,191,7370587
suburban,commercial,3960,3457,1,modern,medium,Non-Furnished,luxury,3762,1527,1295,535,80,178,172,33803060
suburban,residential,9459,1142,5,contemporary,high,Furnished,standard,8985,1742,1355,316,165,192,190,57871611
metropolitan,commercial,1219,25689,23,modern,low,Non-Furnished,basic,1150,1687,1203,368,103,230,143,40023177
metropolitan,residential,10419,39702,2,contemporary,low,Non-Furnished,luxury,9898,1665,1392,320,160,216,164,405933330
metropolitan,commercial,11307,28606,18,traditional,low,Furnished,luxury,10728,1516,1314,459,108,213,119,488084067
suburban,commercial,9956,3050,29,contemporary,low,Furnished,standard,9454,1716,1037,585,56,276,182,220070680
metropolitan,residential,9866,46304,2,modern,high,Non-Furnished,standard,9372,1522,1008,591,167,167,167,491356305
metropolitan,commercial,8426,33548,23,contemporary,low,Non-Furnished,luxury,8004,1640,1148,432,90,192,189,422845879
suburban,commercial,6135,3551,4,contemporary,high,Furnished,standard,5828,1588,1238,578,185,150,197,66589736
urban,commercial,10579,5081,27,contemporary,high,Furnished,standard,10044,1679,1357,562,93,277,106,293300572
suburban,commercial,7720,4572,3,modern,low,Furnished,basic,7332,1694,1070,467,184,264,151,63165193
metropolitan,residential,3943,46371,2,modern,high,Furnished,basic,3744,1689,1270,304,121,269,161,176877565
rural,residential,5670,824,3,modern,low,Non-Furnished,basic,5385,1713,1400,584,79,226,118,24164862
urban,commercial,4634,18663,19,traditional,high,Non-Furnished,standard,4389,1540,1309,371,122,216,148,159792257
suburban,commercial,8407,4016,28,traditional,medium,Non-Furnished,luxury,7980,1595,1077,328,179,230,127,160507312
suburban,residential,8323,1785,4,traditional,low,Non-Furnished,luxury,7904,1604,1088,312,183,257,194,45449419
urban,commercial,11174,16235,19,traditional,high,Furnished,luxury,10602,1666,1055,440,147,269,136,406069274
rural,residential,11649,204,2,modern,medium,Furnished,basic,11066,1754,1256,304,136,223,180,39543731
urban,commercial,10825,11700,7,traditional,high,Furnished,luxury,10283,1650,1203,546,93,245,149,267279269
urban,commercial,8685,19640,5,contemporary,low,Furnished,luxury,8250,1725,1095,350,128,225,134,231634816
urban,commercial,7236,18013,21,modern,medium,Non-Furnished,luxury,6867,1649,1198,378,186,203,190,252138173
rural,residential,9357,527,2,modern,medium,Non-Furnished,luxury,8888,1710,1310,566,149,269,127,46211293
suburban,residential,1510,2553,5,traditional,medium,Furnished,basic,1430,1798,1333,522,103,187,115,10332147
suburban,residential,5559,2625,4,contemporary,low,Furnished,standard,5280,1506,1061,465,164,167,191,33371505
urban,residential,4890,17179,2,traditional,medium,Furnished,standard,4644,1618,1100,388,189,171,143,92486954
rural,residential,7976,544,1,modern,medium,Non-Furnished,basic,7577,1556,1219,535,85,190,138,26363972
urban,residential,1720,11291,2,modern,low,Non-Furnished,luxury,1634,1788,1357,437,125,215,137,23849381
urban,commercial,1203,11444,21,modern,medium,Non-Furnished,basic,1134,1501,1435,579,61,278,113,31083455
urban,commercial,2329,19118,14,traditional,high,Non-Furnished,basic,2212,1603,1065,584,91,181,144,75612473
metropolitan,residential,4712,32393,4,modern,high,Furnished,basic,4476,1784,1279,543,57,246,107,158848504
metropolitan,commercial,10452,28422,22,contemporary,medium,Non-Furnished,luxury,9922,1525,1301,584,134,191,198,553905786
suburban,commercial,5209,3317,14,modern,medium,Non-Furnished,basic,4942,1522,1124,411,172,201,148,60752176
urban,commercial,7033,12626,22,contemporary,high,Non-Furnished,luxury,6666,1558,1379,576,67,187,118,259981572
urban,commercial,10503,8202,13,contemporary,low,Non-Furnished,standard,9971,1749,1401,380,122,178,107,169160500
urban,residential,9069,18653,4,contemporary,medium,Non-Furnished,basic,8612,1676,1435,345,171,289,161,172682766
metropolitan,residential,8883,38778,5,traditional,low,Non-Furnished,basic,8435,1519,1107,598,133,300,114,289011960
suburban,residential,7969,1617,1,modern,low,Furnished,luxury,7570,1613,1047,426,110,292,121,36462940
urban,commercial,11379,18143,30,contemporary,medium,Furnished,luxury,10800,1624,1101,434,157,299,144,464234705
urban,commercial,4425,18550,20,contemporary,medium,Non-Furnished,luxury,4200,1754,1484,334,140,170,180,152214793
metropolitan,commercial,2198,24790,18,traditional,high,Furnished,luxury,2088,1629,1033,522,78,183,178,107438208
urban,residential,6957,16648,4,modern,medium,Furnished,basic,6608,1773,1068,511,73,211,110,122510977
urban,residential,2952,8437,3,traditional,high,Furnished,standard,2802,1569,1495,542,112,209,159,39185110
urban,residential,3651,13951,1,traditional,medium,Furnished,luxury,3468,1709,1469,372,82,261,128,64460250
metropolitan,commercial,2233,46269,9,traditional,low,Non-Furnished,standard,2115,1635,1022,498,74,239,184,118274128
rural,residential,4378,346,3,modern,medium,Furnished,standard,4158,1649,1424,547,120,187,178,21165986
urban,residential,11727,18825,4,contemporary,low,Furnished,standard,11140,1744,1243,529,154,200,125,229468255
metropolitan,commercial,10816,37677,26,modern,low,Non-Furnished,luxury,10270,1763,1198,473,136,296,152,620971803
suburban,residential,11427,4362,3,modern,high,Furnished,standard,10854,1556,1411,536,128,213,128,104096731
suburban,residential,3672,1430,4,modern,medium,Non-Furnished,luxury,3488,1538,1073,443,73,201,136,21749253
rural,residential,4644,608,2,modern,high,Non-Furnished,standard,4410,1783,1011,580,113,163,146,21900494
rural,commercial,11456,919,1,traditional,low,Furnished,luxury,10883,1711,1117,465,65,176,171,56503592
urban,commercial,10830,14523,10,traditional,medium,Non-Furnished,luxury,10280,1589,1325,561,180,203,160,303096348
metropolitan,residential,1293,36904,3,traditional,low,Non-Furnished,standard,1227,1740,1385,312,189,222,193,43287069
metropolitan,residential,7065,31553,1,modern,medium,Non-Furnished,luxury,6711,1706,1258,339,89,160,195,245587380
suburban,commercial,8461,4046,10,traditional,low,Non-Furnished,basic,8030,1777,1136,565,76,269,157,95359412
metropolitan,commercial,2193,23585,15,modern,high,Furnished,basic,2070,1569,1261,485,151,266,108,80417406
rural,residential,4302,288,3,modern,medium,Furnished,luxury,4086,1661,1384,333,139,246,150,20138367
suburban,residential,5702,2747,5,contemporary,medium,Furnished,luxury,5415,1654,1088,387,154,188,109,43423075
rural,residential,9267,493,2,contemporary,medium,Furnished,luxury,8802,1749,1265,574,99,200,178,45732495
rural,residential,11012,556,3,modern,medium,Non-Furnished,standard,10461,1685,1216,483,79,258,146,51012616
metropolitan,residential,11299,24770,4,traditional,low,Non-Furnished,luxury,10732,1508,1044,600,123,222,134,301302093
rural,commercial,6729,597,18,modern,high,Furnished,standard,6390,1708,1099,305,131,196,189,73713710
urban,commercial,4389,15748,25,contemporary,medium,Non-Furnished,basic,4150,1571,1007,570,108,198,141,139401129
rural,commercial,5215,986,4,contemporary,high,Furnished,standard,4952,1528,1357,342,52,283,196,35143550
rural,commercial,11112,830,16,modern,medium,Non-Furnished,standard,10544,1765,1180,490,196,190,168,141659513
rural,residential,6871,685,2,contemporary,medium,Non-Furnished,standard,6526,1787,1377,460,153,257,139,31447433
metropolitan,residential,5866,33552,5,modern,medium,Furnished,basic,5570,1565,1147,519,194,279,185,186447395
metropolitan,commercial,10186,26409,30,modern,low,Furnished,basic,9660,1757,1456,559,114,239,196,417028484
metropolitan,commercial,3411,32993,11,contemporary,medium,Non-Furnished,basic,3234,1563,1269,512,153,223,142,140171041
suburban,commercial,5367,3808,9,traditional,medium,Non-Furnished,luxury,5094,1789,1459,485,109,206,163,74600238
metropolitan,commercial,9619,36441,18,contemporary,medium,Non-Furnished,basic,9126,1584,1240,568,177,176,114,469125229
rural,commercial,1748,250,1,traditional,high,Furnished,standard,1660,1788,1322,355,199,217,102,8591997
rural,residential,1684,463,4,contemporary,high,Non-Furnished,standard,1596,1631,1175,558,105,267,149,9555337
metropolitan,commercial,2907,43699,25,contemporary,medium,Non-Furnished,standard,2750,1547,1050,384,91,258,105,178005567
suburban,commercial,6226,3486,30,traditional,low,Non-Furnished,basic,5910,1790,1169,524,83,155,150,119741316
rural,commercial,3831,894,14,traditional,medium,Furnished,standard,3626,1629,1353,470,156,236,186,44367132
urban,residential,5955,17740,5,traditional,high,Non-Furnished,standard,5655,1595,1405,352,151,178,156,133949152
rural,residential,4423,322,1,modern,low,Furnished,basic,4201,1626,1169,447,97,172,165,12464377
metropolitan,residential,1339,37008,5,contemporary,low,Furnished,standard,1270,1736,1164,453,50,259,198,46002448
rural,commercial,1776,785,9,modern,low,Non-Furnished,luxury,1683,1509,1438,594,157,220,150,17683420
suburban,residential,11860,2408,1,modern,low,Furnished,basic,11267,1703,1109,306,156,177,118,50884110
suburban,commercial,7429,4447,9,traditional,medium,Furnished,standard,7056,1596,1028,581,111,262,192,102166544
urban,commercial,1518,14274,19,traditional,low,Furnished,standard,1425,1745,1125,532,85,281,102,40479337
urban,residential,5250,8599,1,traditional,high,Non-Furnished,basic,4987,1589,1266,523,118,190,104,57064522
urban,commercial,10826,15117,5,modern,medium,Non-Furnished,luxury,10280,1537,1346,515,100,171,141,271040292
